sentence	label
nothing happens , and it happens to flat characters .	0
as lively an account as seinfeld is deadpan .	0
so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat .	0
the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times	0
ultimately , sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .	0
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .	0
this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .	0
just because a walk to remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls .	0
often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?	0
this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .	0
but it would be better to wait for the video .	0
a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television .	0
just a collection of this and that -- whatever fills time -- with no unified whole .	0
although god is great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film .	0
the chocolate factory without charlie .	0
in that setting , their struggle is simply too ludicrous and borderline insulting .	0
(ramsay) visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .	1
the film jolts the laughs from the audience -- as if by cattle prod .	1
the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .	1
a film that will enthrall the whole family .	1
serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination .	1
sweet and memorable film .	1
shyamalan takes a potentially trite and overused concept (aliens come to earth) and infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion .	1
a crisp psychological drama (and) a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode .	1
my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .	1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	1
diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film .	1
you 're not merely watching history , you 're engulfed by it .	1
the concept is a hoot .	1
the filmmakers ' eye for detail and the high standards of performance convey a strong sense of the girls ' environment .	1
a haunting tale of murder and mayhem .	1
neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present .	1
the script is smart and dark - hallelujah for small favors .	1
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .	1
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	1
as a kind of colorful , dramatized pbs program , frida gets the job done .	1
just like a splendid meal , red dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .	1
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	1
a pleasing , often-funny comedy .	1
the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	1
irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .	1
yet the act is still charming here .	1
with this masterful , flawless film , (wang) emerges in the front ranks of china 's now numerous , world-renowned filmmakers .	1
it 's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .	1
the best animated feature to hit theaters since beauty and the beast 11 years ago .	1
a rich tale of our times , very well told with an appropriate minimum of means .	1
to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .	1
a burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at .	1
some fine acting , but ultimately a movie with no reason for being .	0
a straight-ahead thriller that never rises above superficiality .	0
the film is grossly contradictory in conveying its social message , if indeed there is one .	0
the feature-length stretch ... strains the show 's concept .	0
a complete waste of time .	0
no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest ` tron ' anderson , seems entirely improvised .	0
... really horrible drek .	0
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .	0
you 'll just have your head in your hands wondering why lee 's character did n't just go to a bank manager and save everyone the misery .	0
adam sandler 's heart may be in the right place , but he needs to pull his head out of his butt	0
sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	0
ear-splitting exercise in formula crash-and-bash action .	0
a prison comedy that never really busts out of its comfy little cell .	0
a half-assed film .	0
is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?	0
a grating , emaciated flick .	0
